,Unnamed: 0,人口数(人),2020年比重(%),2010年比重(%),地区,增长比例,2010年人数,10年增长人数
19,19,126012510,8.93,7.79,广东,1.1399999999999997,103825966.6951,22186543.304900005
11,11,64567588,4.57,4.06,浙江,0.5100000000000007,54112121.281399995,10455466.718600005
10,10,84748016,6.0,5.87,江苏,0.1299999999999999,78235998.0103,6512017.989700004
15,15,101527453,7.19,7.15,山东,0.040000000000000036,95295977.1335,6231475.866500005
16,16,99365519,7.04,7.02,河南,0.020000000000000462,93563323.00379999,5802195.99620001
13,13,41540086,2.94,2.75,福建,0.18999999999999995,36652298.8975,4887787.102499999
20,20,50126804,3.55,3.44,广西,0.10999999999999988,45848693.893599994,4278110.1064000055
31,31,25852345,1.83,1.63,新疆,0.20000000000000018,21724817.164699998,4127527.8353000022
24,24,38562148,2.73,2.59,贵州,0.14000000000000012,34519801.50709999,4042346.4929000065
23,23,83674866,5.93,6.0,四川,-0.07000000000000028,79968652.14,3706213.8599999994
22,22,32054159,2.27,2.15,重庆,0.1200000000000001,28655433.6835,3398725.3165000007
3,3,74610235,5.28,5.36,河北,-0.08000000000000007,71438662.5784,3171572.421599999
1,1,21893095,1.55,1.46,北京,0.09000000000000008,19459038.6874,2434056.3126000017
27,27,39528999,2.8,2.79,陕西,0.009999999999999787,37185423.2451,2343575.754900001
9,9,24870895,1.76,1.72,上海,0.040000000000000036,22924346.946799997,1946548.0532000028
12,12,61027171,4.32,4.44,安徽,-0.1200000000000001,59176802.5836,1850368.4164000005
25,25,47209277,3.34,3.43,云南,-0.0900000000000003,45715412.8067,1493864.1933000013
21,21,10081232,0.71,0.65,海南,0.05999999999999994,8663270.6485,1417961.3515000008
18,18,66444864,4.71,4.9,湖南,-0.1900000000000004,65307732.581,1137131.4189999998
30,30,7202654,0.51,0.47,宁夏,0.040000000000000036,6264211.084299999,938442.9157000007
2,2,13866009,0.98,0.97,天津,0.010000000000000009,12928265.429299999,937743.570700001
17,17,57752557,4.09,4.27,湖北,-0.17999999999999972,56911024.10629999,841532.8937000111
14,14,45188635,3.2,3.33,江西,-0.1299999999999999,44382601.937699996,806033.0623000041
26,26,3648100,0.26,0.22,西藏,0.04000000000000001,2932183.9118,715916.0882000001
29,29,5923957,0.42,0.42,青海,0.0,5597805.6498,326151.3502000002
28,28,25019831,1.77,1.91,甘肃,-0.1399999999999999,25456687.5979,-436856.59789999947
5,5,24049155,1.7,1.84,内蒙古,-0.14000000000000012,24523719.9896,-474564.98959999904
4,4,34915616,2.47,2.67,山西,-0.19999999999999973,35586050.2023,-670434.2022999972
6,6,42591407,3.02,3.27,辽宁,-0.25,43582915.4163,-991508.4162999988
7,7,24073453,1.71,2.05,吉林,-0.33999999999999986,27322622.814499997,-3249169.8144999966
8,8,31850088,2.26,2.86,黑龙江,-0.6000000000000001,38118390.8534,-6268302.853399999
