,2020年,2010年,地区
0,9.91,9.08,全国
1,12.64,11.71,北京
2,11.29,10.38,天津
3,9.84,9.12,河北
4,10.45,9.52,山西
5,10.08,9.22,内蒙古
6,10.34,9.67,辽宁
7,10.17,9.49,吉林
8,9.93,9.36,黑龙江
9,11.81,10.73,上海
10,10.21,9.32,江苏
11,9.79,8.79,浙江
12,9.35,8.28,安徽
13,9.66,9.02,福建
14,9.70,8.86,江西
15,9.75,8.97,山东
16,9.79,8.95,河南
17,10.02,9.20,湖北
18,9.88,9.16,湖南
19,10.38,9.55,广东
20,9.54,8.76,广西
21,10.10,9.22,海南
22,9.80,8.75,重庆
23,9.24,8.35,四川
24,8.75,7.65,贵州
25,8.82,7.76,云南
26,6.75,5.25,西藏
27,10.26,9.36,陕西
28,9.13,8.19,甘肃
29,8.85,7.85,青海
30,9.81,8.82,宁夏
31,10.11,9.27,新疆
