,大学（大专及以上）,高中（含中专）,初中,小学,地区
0,15467,15088,34507,24767,全国
1,41980,17593,23289,10503,北京
2,26940,17719,32294,16123,天津
3,12418,13861,39950,24664,河北
4,17358,16485,38950,19506,山西
5,18688,14814,33861,23627,内蒙古
6,18216,14670,42799,18888,辽宁
7,16738,17080,38234,22318,吉林
8,14793,15525,42793,21863,黑龙江
9,33872,19020,28935,11929,上海
10,18663,16191,33308,22742,江苏
11,16990,14555,32706,26384,浙江
12,13280,13294,33724,26875,安徽
13,14148,14212,32218,28031,福建
14,11897,15145,35501,27514,江西
15,14384,14334,35778,23693,山东
16,11744,15239,37518,24557,河南
17,15502,17428,34280,23520,湖北
18,12239,17776,35636,25214,湖南
19,15699,18224,35484,20676,广东
20,10806,12962,36388,27855,广西
21,13919,15561,40174,19701,海南
22,15412,15956,30582,29894,重庆
23,13267,13301,31443,31317,四川
24,10952,9951,30464,31921,贵州
25,11601,10338,29241,35667,云南
26,11019,7051,15757,32108,西藏
27,18397,15581,33979,21686,陕西
28,14506,12937,27423,29808,甘肃
29,14880,10568,24344,32725,青海
30,17340,13432,29717,26111,宁夏
31,16536,13208,31559,28405,新疆
